time,r_x,r_y,r_z,v_x,v_y,v_z,v,r,E,a,n,T,h,h_x,h_y,h_z,e,e_x,e_y,e_z,p,ra,rp,b,f,E_anom,M,gamma,i,laan,omega
2.1533696011e+02,1.0126887397e+04,2.3468320011e+03,2.1570808538e+02,1.9056341893e-01,6.1798080569e+00,9.9143060214e-01,6.2617311245e+00,1.0397499641e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.7418837304e+00,1.4803132262e+00,1.2246980919e+00,2.5855505831e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
2.3314800090e+02,1.0129713654e+04,2.4567671735e+03,2.3335407197e+02,1.2688079608e-01,6.1647069906e+00,9.9001891792e-01,6.2449858666e+00,1.0425989535e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.7522252636e+00,1.4907793593e+00,1.2349354969e+00,2.5877623012e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
2.5095904168e+02,1.0131410156e+04,2.5664283624e+03,2.5097403554e+02,6.3703508671e-02,6.1490443614e+00,9.8850878335e-01,6.2283187387e+00,1.0454425582e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.7625104852e+00,1.5012169586e+00,1.2451729020e+00,2.5896978940e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
2.6942727433e+02,1.0131985831e+04,2.6798359133e+03,2.6921480259e+02,-1.2706445226e-03,6.1322228357e+00,9.8684089091e-01,6.2111201458e+00,1.0483851106e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.7731163500e+00,1.5120097763e+00,1.2557880469e+00,2.5914155717e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
2.8789550698e+02,1.0131366574e+04,2.7929274323e+03,2.8742382239e+02,-6.5700437778e-02,6.1148220227e+00,9.8507107174e-01,6.1940075826e+00,1.0513212865e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.7836629089e+00,1.5227723761e+00,1.2664031917e+00,2.5928409948e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
3.0636373963e+02,1.0129562441e+04,2.9056923335e+03,3.0559923060e+02,-1.2958561786e-01,6.0968540765e+00,9.8320127770e-01,6.1769820151e+00,1.0542507960e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.7941507880e+00,1.5335049933e+00,1.2770183366e+00,2.5939765033e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
3.2575153720e+02,1.0126404641e+04,3.0237092430e+03,3.2464146030e+02,-1.9606570600e-01,6.0773943465e+00,9.8113291889e-01,6.1592033258e+00,1.0573186871e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.8050984226e+00,1.5447400045e+00,1.2881620277e+00,2.5948591718e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
3.4513933477e+02,1.0121963756e+04,3.1413430498e+03,3.4364255923e+02,-2.6194562841e-01,6.0573363432e+00,9.7895868560e-01,6.1415225469e+00,1.0603785958e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.8159827916e+00,1.5559425054e+00,1.2993057189e+00,2.5954275863e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
3.6452713234e+02,1.0116251420e+04,3.2585822845e+03,3.6260049563e+02,-3.2722569561e-01,6.0366933968e+00,9.7668072795e-01,6.1239406486e+00,1.0634302065e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.8268046078e+00,1.5671127695e+00,1.3104494100e+00,2.5956844162e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
3.8477890000e+02,1.0108939423e+04,3.3806125129e+03,3.8235499932e+02,-3.9477480466e-01,6.0145201004e+00,9.7419278793e-01,6.1056818434e+00,1.0666086094e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.8380426435e+00,1.5787466818e+00,1.3220896926e+00,2.5956228467e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
