time,ICRF_X,ICRF_Y,ICRF_Z,Vx,Vy,Vz,v,r,E,a,n,T,h,h_x,h_y,h_z,e,e_x,e_y,e_z,p,ra,rp,b,f,E_anom,M,gamma,i,laan,omega,V_infinity,b_impact_parameter,beta,b_impact_parameter_x,b_impact_parameter_y,r_soi,within_target_soi
1.7282134000e+05,1.2384891983e+08,-8.7786585085e+07,7.3002724646e+05,1.9760558568e+01,2.6486348383e+01,1.7953521726e+00,3.3094253504e+01,1.5180768229e+08,-3.2656021048e+02,2.0318838477e+08,1.2577599264e-07,4.9955362508e+07,5.0224440268e+09,-1.7694359223e+08,-2.0792668112e+08,5.0150175935e+09,2.5398800849e-01,1.8791224353e-01,-1.7087624328e-01,-4.5460712973e-04,1.9008072067e+08,2.5479579797e+08,1.5158097158e+08,1.9652530272e+08,6.9620008802e+00,5.3725037311e+00,4.0099509462e+00,1.4084656089e+00,3.1161887082e+00,4.0397461536e+01,3.5811315087e+02,1.7014315012e+01,7.1612087323e+07,1.5707942609e+00,7.0488489570e+07,-1.2635817695e+07,5.1455205645e+05,0.0000000000e+00
1.8977893227e+05,1.2418333532e+08,-8.7336962468e+07,7.6046806006e+05,1.9680797019e+01,2.6542664226e+01,1.7948728598e+00,3.3091817178e+01,1.5182168519e+08,-3.2656020855e+02,2.0318838598e+08,1.2577599152e-07,4.9955362951e+07,5.0224440356e+09,-1.7694359197e+08,-2.0792668067e+08,5.0150176024e+09,2.5398801292e-01,1.8791224678e-01,-1.7087624631e-01,-4.5460713449e-04,1.9008072134e+08,2.5479580038e+08,1.5158097157e+08,1.9652530365e+08,7.1737270760e+00,5.5360609548e+00,4.1321546712e+00,1.4511945538e+00,3.1161886968e+00,4.0397461555e+01,3.5811315087e+02,1.6987389187e+01,7.1357277761e+07,1.5707942470e+00,7.0226341711e+07,-1.2653932960e+07,5.1455205950e+05,0.0000000000e+00
2.0735453537e+05,1.2452850924e+08,-8.6869948557e+07,7.9200951776e+05,1.9597925799e+01,2.6600710359e+01,1.7943555683e+00,3.3089215752e+01,1.5183663871e+08,-3.2656020654e+02,2.0318838723e+08,1.2577599036e-07,4.9955363413e+07,5.0224440448e+09,-1.7694359169e+08,-2.0792668020e+08,5.0150176116e+09,2.5398801754e-01,1.8791225016e-01,-1.7087624945e-01,-4.5460713864e-04,1.9008072203e+08,2.5479580289e+08,1.5158097157e+08,1.9652530461e+08,7.3931276814e+00,5.7055627730e+00,4.2588120449e+00,1.4954623312e+00,3.1161886849e+00,4.0397461576e+01,3.5811315088e+02,1.6959449776e+01,7.1093550500e+07,1.5707942324e+00,6.9954978708e+07,-1.2672563936e+07,5.1455206266e+05,0.0000000000e+00
2.2493013847e+05,1.2487222485e+08,-8.6401917339e+07,8.2354170045e+05,1.9514849955e+01,2.6658427622e+01,1.7938174218e+00,3.3086536733e+01,1.5185204009e+08,-3.2656020453e+02,2.0318838848e+08,1.2577598920e-07,4.9955363875e+07,5.0224440540e+09,-1.7694359142e+08,-2.0792667971e+08,5.0150176208e+09,2.5398802217e-01,1.8791225356e-01,-1.7087625259e-01,-4.5460714198e-04,1.9008072273e+08,2.5479580540e+08,1.5158097156e+08,1.9652530558e+08,7.6124844270e+00,5.8750476455e+00,4.3854694143e+00,1.5397108197e+00,3.1161886730e+00,4.0397461598e+01,3.5811315090e+02,1.6931477992e+01,7.0830202320e+07,1.5707942176e+00,6.9683964346e+07,-1.2691046992e+07,5.1455206584e+05,0.0000000000e+00
2.4250574157e+05,1.2521447856e+08,-8.5932874603e+07,8.5506424180e+05,1.9431571326e+01,2.6715815027e+01,1.7932584442e+00,3.3083780204e+01,1.5186788902e+08,-3.2656020250e+02,2.0318838974e+08,1.2577598803e-07,4.9955364340e+07,5.0224440632e+09,-1.7694359114e+08,-2.0792667922e+08,5.0150176301e+09,2.5398802681e-01,1.8791225698e-01,-1.7087625574e-01,-4.5460714451e-04,1.9008072343e+08,2.5479580792e+08,1.5158097156e+08,1.9652530655e+08,7.8317960328e+00,6.0445150759e+00,4.5121267796e+00,1.5839394559e+00,3.1161886609e+00,4.0397461620e+01,3.5811315091e+02,1.6903474061e+01,7.0567235684e+07,1.5707942028e+00,6.9413301001e+07,-1.2709382213e+07,5.1455206903e+05,0.0000000000e+00
2.6008134466e+05,1.2555526684e+08,-8.5462826155e+07,8.8657677589e+05,1.9348091753e+01,2.6772871597e+01,1.7926786601e+00,3.3080946250e+01,1.5188418517e+08,-3.2656020047e+02,2.0318839101e+08,1.2577598685e-07,4.9955364806e+07,5.0224440725e+09,-1.7694359086e+08,-2.0792667873e+08,5.0150176394e+09,2.5398803148e-01,1.8791226042e-01,-1.7087625889e-01,-4.5460714623e-04,1.9008072413e+08,2.5479581046e+08,1.5158097156e+08,1.9652530752e+08,8.0510612209e+00,6.2139645688e+00,4.6387841407e+00,1.6281476778e+00,3.1161886488e+00,4.0397461644e+01,3.5811315093e+02,1.6875438510e+01,7.0304653185e+07,1.5707941877e+00,6.9142991313e+07,-1.2727568962e+07,5.1455207223e+05,0.0000000000e+00
2.7765694776e+05,1.2589458616e+08,-8.4991777817e+07,9.1807893728e+05,1.9264413086e+01,2.6829596371e+01,1.7920780948e+00,3.3078034961e+01,1.5190092821e+08,-3.2656019843e+02,2.0318839228e+08,1.2577598568e-07,4.9955365275e+07,5.0224440818e+09,-1.7694359059e+08,-2.0792667822e+08,5.0150176487e+09,2.5398803616e-01,1.8791226388e-01,-1.7087626204e-01,-4.5460714711e-04,1.9008072483e+08,2.5479581300e+08,1.5158097155e+08,1.9652530850e+08,8.2702787156e+00,6.3833956291e+00,4.7654414975e+00,1.6723349240e+00,3.1161886366e+00,4.0397461669e+01,3.5811315096e+02,1.6847371754e+01,7.0042458018e+07,1.5707941726e+00,6.8873038541e+07,-1.2745606589e+07,5.1455207545e+05,0.0000000000e+00
2.9593165210e+05,1.2624584101e+08,-8.4500938621e+07,9.5082276180e+05,1.9177196810e+01,2.6888224600e+01,1.7914316314e+00,3.3074925955e+01,1.5191881077e+08,-3.2656019630e+02,2.0318839360e+08,1.2577598445e-07,4.9955365763e+07,5.0224440915e+09,-1.7694359030e+08,-2.0792667769e+08,5.0150176585e+09,2.5398804105e-01,1.8791226750e-01,-1.7087626532e-01,-4.5460714715e-04,1.9008072557e+08,2.5479581566e+08,1.5158097155e+08,1.9652530952e+08,8.4981640355e+00,6.5595460370e+00,4.8971368742e+00,1.7182569514e+00,3.1161886238e+00,4.0397461695e+01,3.5811315098e+02,1.6818155779e+01,6.9770247400e+07,1.5707941566e+00,6.8592729391e+07,-1.2764203731e+07,5.1455207880e+05,0.0000000000e+00
3.1420635644e+05,1.2659550008e+08,-8.4009031306e+07,9.8355456758e+05,1.9089769381e+01,2.6946492037e+01,1.7907627591e+00,3.3071733540e+01,1.5193717570e+08,-3.2656019416e+02,2.0318839493e+08,1.2577598321e-07,4.9955366254e+07,5.0224441013e+09,-1.7694359002e+08,-2.0792667715e+08,5.0150176683e+09,2.5398804596e-01,1.8791227115e-01,-1.7087626861e-01,-4.5460714628e-04,1.9008072631e+08,2.5479581832e+08,1.5158097154e+08,1.9652531055e+08,8.7259949867e+00,6.7356754277e+00,5.0288322461e+00,1.7641550666e+00,3.1161886109e+00,4.0397461723e+01,3.5811315102e+02,1.6788906959e+01,6.9498460947e+07,1.5707941406e+00,6.8312811510e+07,-1.2782638917e+07,5.1455208217e+05,0.0000000000e+00
3.3248106078e+05,1.2694355952e+08,-8.3516062475e+07,1.0162739454e+06,1.9002132897e+01,2.7004397647e+01,1.7900715091e+00,3.3068457824e+01,1.5195602261e+08,-3.2656019202e+02,2.0318839627e+08,1.2577598197e-07,4.9955366746e+07,5.0224441111e+09,-1.7694358973e+08,-2.0792667660e+08,5.0150176781e+09,2.5398805089e-01,1.8791227481e-01,-1.7087627190e-01,-4.5460714450e-04,1.9008072705e+08,2.5479582100e+08,1.5158097154e+08,1.9652531158e+08,8.9537701429e+00,6.9117832476e+00,5.1605276135e+00,1.8100286420e+00,3.1161885980e+00,4.0397461752e+01,3.5811315105e+02,1.6759625702e+01,6.9227102861e+07,1.5707941243e+00,6.8033289130e+07,-1.2800911712e+07,5.1455208555e+05,0.0000000000e+00
