time,JDTDB,X,Y,Z,VX,VY,VZ
4320000,2453647.500000000,1.613709264953611E+08,3.707443713387039E+07,7.111311250250245E+06,-1.561319320632933E+00,3.064333135665944E+01,1.190202640263065E+00
4406400,2453648.500000000,1.612185188961963E+08,3.971790025703464E+07,7.213367674624540E+06,-1.965999826065299E+00,3.054697566039518E+01,1.172197582042850E+00
4492800,2453649.500000000,1.610313124723060E+08,4.235278900876893E+07,7.313864181001443E+06,-2.366835271533780E+00,3.044487282898095E+01,1.154095099836635E+00
4579200,2453650.500000000,1.608096427292026E+08,4.497861253740905E+07,7.412792669048697E+06,-2.763749419402996E+00,3.033715442842023E+01,1.135901819510332E+00
4665600,2453651.500000000,1.605538514953276E+08,4.759489139782664E+07,7.510145641519416E+06,-3.156673345661492E+00,3.022395351670117E+01,1.117626107121186E+00
4752000,2453652.500000000,1.602642863771736E+08,5.020115762173498E+07,7.605916304548740E+06,-3.545541794161318E+00,3.010540247696958E+01,1.099275534584542E+00
4838400,2453653.500000000,1.599413004255033E+08,5.279695466578601E+07,7.700098511366151E+06,-3.930293990511357E+00,2.998163336463083E+01,1.080857507680649E+00
4924800,2453654.500000000,1.595852517531074E+08,5.538183737733192E+07,7.792686747873057E+06,-4.310873501638048E+00,2.985277777982172E+01,1.062379266520074E+00
5011200,2453655.500000000,1.591965031644271E+08,5.795537194938947E+07,7.883676118256427E+06,-4.687228151551023E+00,2.971896672806441E+01,1.043847881987897E+00
5097600,2453656.500000000,1.587754217912889E+08,6.051713586087709E+07,7.973062329407778E+06,-5.059309932660185E+00,2.958033034470563E+01,1.025270207081043E+00
5184000,2453657.500000000,1.583223787388181E+08,6.306671780695389E+07,8.060841675395943E+06,-5.427074831977369E+00,2.943699837392925E+01,1.006653063655294E+00
5270400,2453658.500000000,1.578377487433417E+08,6.560371764443240E+07,8.147011029725432E+06,-5.790482811762410E+00,2.928909916357679E+01,9.880029600173401E-01
5356800,2453659.500000000,1.573219098353101E+08,6.812774627736647E+07,8.231567821595091E+06,-6.149497637760686E+00,2.913676015633208E+01,9.693262780269887E-01
5443200,2453660.500000000,1.567752430146606E+08,7.063842557168713E+07,8.314510024080161E+06,-6.504086780906716E+00,2.898010764362512E+01,9.506292260529126E-01
5529600,2453661.500000000,1.561981319358990E+08,7.313538825188747E+07,8.395836139168911E+06,-6.854221305940016E+00,2.881926667372541E+01,9.319178388888982E-01
5616000,2453662.500000000,1.555909626027629E+08,7.561827779004698E+07,8.475545182801459E+06,-7.199875743955851E+00,2.865436097381387E+01,9.131979792654512E-01
5702400,2453663.500000000,1.549541230733228E+08,7.808674828812198E+07,8.553636669992857E+06,-7.541027997286807E+00,2.848551286318831E+01,8.944753362648683E-01
5788800,2453664.500000000,1.542880031732446E+08,8.054046434804326E+07,8.630110596581142E+06,-7.877659241813549E+00,2.831284288741852E+01,8.757552388142624E-01
5875200,2453665.500000000,1.535929942199318E+08,8.297910093634869E+07,8.704967421437789E+06,-8.209753698395474E+00,2.813647095355047E+01,8.570434172866808E-01
5961600,2453666.500000000,1.528694887621329E+08,8.540234329567994E+07,8.778208081375279E+06,-8.537298671996016E+00,2.795651447932436E+01,8.383448638513258E-01
6048000,2453667.500000000,1.521178803184254E+08,8.780988674708368E+07,8.849833940522641E+06,-8.860284392229385E+00,2.777308950379651E+01,8.196645905032298E-01
6134400,2453668.500000000,1.513385631303704E+08,9.020143656435846E+07,8.919846788942806E+06,-9.178703844501721E+00,2.758631038517452E+01,8.010074477721592E-01
6220800,2453669.500000000,1.505319319296097E+08,9.257670782717228E+07,8.988248828805812E+06,-9.492552703927876E+00,2.739628973307053E+01,7.823781229928031E-01
6307200,2453670.500000000,1.496983817084319E+08,9.493542526408553E+07,9.055042656197574E+06,-9.801829202227543E+00,2.720313816443058E+01,7.637809166964082E-01
6393600,2453671.500000000,1.488383075050763E+08,9.727732309249757E+07,9.120231244072855E+06,-1.010653412786390E+01,2.700696508331107E+01,7.452206474572964E-01
6480000,2453672.500000000,1.479521041868662E+08,9.960214489320660E+07,9.183817962871499E+06,-1.040667052737908E+01,2.680787745084535E+01,7.267013034033400E-01
6566400,2453673.500000000,1.470401662592617E+08,1.019096434106694E+08,9.245806524968244E+06,-1.070224375650284E+01,2.660598054359268E+01,7.082269429473786E-01
6652800,2453674.500000000,1.461028876716009E+08,1.041995804039125E+08,9.306200986915521E+06,-1.099326129822805E+01,2.640137776419289E+01,6.898014766850160E-01
6739200,2453675.500000000,1.451406616367490E+08,1.064717264832762E+08,9.365005736698903E+06,-1.127973272648200E+01,2.619417058177621E+01,6.714286643152096E-01
6825600,2453676.500000000,1.441538804553401E+08,1.087258609432204E+08,9.422225480888315E+06,-1.156166953813464E+01,2.598445856712067E+01,6.531121238616198E-01
6912000,2453677.500000000,1.431429353449943E+08,1.109617715640798E+08,9.477865355083019E+06,-1.183908648557419E+01,2.577233709111005E+01,6.348633024605821E-01
6998400,2453678.500000000,1.421082161952642E+08,1.131792547449795E+08,9.531930929258570E+06,-1.211199437593170E+01,2.555790891446041E+01,6.166642994903793E-01
7084800,2453679.500000000,1.410501118664979E+08,1.153781144945146E+08,9.584427132236362E+06,-1.238041466215828E+01,2.534126040222244E+01,5.985368905226398E-01
7171200,2453680.500000000,1.399690093029551E+08,1.175581633157655E+08,9.635360101239197E+06,-1.264436411951643E+01,2.512248589765989E+01,5.804788278724811E-01
7257600,2453681.500000000,1.388652939340822E+08,1.197192214188227E+08,9.684735955535948E+06,-1.290386267190320E+01,2.490167525858593E+01,5.624930471865621E-01
7344000,2453682.500000000,1.377393494057946E+08,1.218611166937213E+08,9.732561062514909E+06,-1.315893166646344E+01,2.467891640517240E+01,5.445823568892667E-01
7430400,2453683.500000000,1.365915574612103E+08,1.239836845434676E+08,9.778842026837811E+06,-1.340959379009770E+01,2.445429532910133E+01,5.267494414295673E-01
