time,JDTDB,X,Y,Z,VX,VY,VZ
3283200,2.453743500000000E+06,-3.792483892204301E+07,1.252880463664399E+08,-4.961750596949086E+05,-2.804450314055183E+01,-1.397931322974702E+01,-5.072976718464073E-02
3369600,2.453744500000000E+06,-4.033930186298088E+07,1.240525636201013E+08,-5.004473801985160E+05,-2.784342346040316E+01,-1.461988498438645E+01,-4.815836225133108E-02
3456000,2.453745500000000E+06,-4.273576139116314E+07,1.227617239220333E+08,-5.044953919906914E+05,-2.762772222733447E+01,-1.526067704705712E+01,-4.553754035614066E-02
3542400,2.453746500000000E+06,-4.511294493824606E+07,1.214155204903020E+08,-5.083148364780396E+05,-2.739718479232243E+01,-1.590140350050576E+01,-4.286755662100550E-02
3628800,2.453747500000000E+06,-4.746956152334497E+07,1.200139719454620E+08,-5.119014632584527E+05,-2.715159973398654E+01,-1.654176304383275E+01,-4.014804969355446E-02
3715200,2.453748500000000E+06,-4.980430188058411E+07,1.185571234222807E+08,-5.152510321518257E+05,-2.689075573456085E+01,-1.718144217139040E+01,-3.738005815243550E-02
3801600,2.453749500000000E+06,-5.211583863858993E+07,1.170450477187406E+08,-5.183593180079833E+05,-2.661444476734084E+01,-1.782011436122741E+01,-3.456327927048530E-02
3888000,2.453750500000000E+06,-5.440282653600069E+07,1.154778464815412E+08,-5.212221152122468E+05,-2.632246117368974E+01,-1.845743824807922E+01,-3.169724914684924E-02
3974400,2.453751500000000E+06,-5.666390270111457E+07,1.138556514219505E+08,-5.238352456755936E+05,-2.601460289850923E+01,-1.909305883274133E+01,-2.878404400019985E-02
4060800,2.453752500000000E+06,-5.889768697550158E+07,1.121786255669740E+08,-5.261945602140650E+05,-2.569067170119792E+01,-1.972660665842522E+01,-2.582208568411293E-02
4147200,2.453753500000000E+06,-6.110278229936615E+07,1.104469645382985E+08,-5.282959492635503E+05,-2.535047502178770E+01,-2.035769679873151E+01,-2.281313688710274E-02
4233600,2.453754500000000E+06,-6.327777515493768E+07,1.086608978604287E+08,-5.301353461339623E+05,-2.499382483266190E+01,-2.098592869487848E+01,-1.975791971741270E-02
4320000,2.453755500000000E+06,-6.542123607541411E+07,1.068206902997190E+08,-5.317087337918431E+05,-2.462053948405503E+01,-2.161088767877189E+01,-1.665609596236006E-02
4406400,2.453756500000000E+06,-6.753172022551589E+07,1.049266432317213E+08,-5.330121547385082E+05,-2.423044496723363E+01,-2.223214075237197E+01,-1.350829691727284E-02
4492800,2.453757500000000E+06,-6.960776805089726E+07,1.029790960257138E+08,-5.340417173076123E+05,-2.382337517716651E+01,-2.284924045581363E+01,-1.031665923301262E-02
4579200,2.453758500000000E+06,-7.164790600577566E+07,1.009784274571652E+08,-5.347936007267162E+05,-2.339917231786406E+01,-2.346172302927556E+01,-7.080868499318882E-03
4665600,2.453759500000000E+06,-7.365064736501737E+07,9.892505713689423E+07,-5.352640664585084E+05,-2.295768941772191E+01,-2.406910688097866E+01,-3.802570741450850E-03
4752000,2.453760500000000E+06,-7.561449311366849E+07,9.681944695457464E+07,-5.354494679380506E+05,-2.249878906359570E+01,-2.467089450145919E+01,-4.822619913564807E-04
4838400,2.453761500000000E+06,-7.753793293857051E+07,9.466210253447823E+07,-5.353462543416694E+05,-2.202234729641463E+01,-2.526657109476541E+01,2.878371485087072E-03
4924800,2.453762500000000E+06,-7.941944630151878E+07,9.245357470274620E+07,-5.349509825453013E+05,-2.152825184756531E+01,-2.585560579978321E+01,6.278141951581162E-03
5011200,2.453763500000000E+06,-8.125750361849912E+07,9.019446094559583E+07,-5.342603257988729E+05,-2.101640498943254E+01,-2.643744920901596E+01,9.715770217022524E-03
5097600,2.453764500000000E+06,-8.305056754092486E+07,8.788540688456231E+07,-5.332710820131674E+05,-2.048672580512894E+01,-2.701153599385631E+01,1.318931288080805E-02
5184000,2.453765500000000E+06,-8.479709433849619E+07,8.552710772678016E+07,-5.319801828317791E+05,-1.993914808587175E+01,-2.757728334149560E+01,1.669782732283309E-02
5270400,2.453766500000000E+06,-8.649553540000379E+07,8.312030971396050E+07,-5.303847044944055E+05,-1.937362361654974E+01,-2.813409302245669E+01,2.023985835497122E-02
5356800,2.453767500000000E+06,-8.814433883979681E+07,8.066581154584007E+07,-5.284818738170080E+05,-1.879012567983767E+01,-2.868135014242522E+01,2.381227261826702E-02
5443200,2.453768500000000E+06,-8.974195123011662E+07,7.816446577925795E+07,-5.262690819908455E+05,-1.818864636906331E+01,-2.921842153602793E+01,2.741426919126155E-02
5529600,2.453769500000000E+06,-9.128681944878583E+07,7.561718019132394E+07,-5.237438923763670E+05,-1.756920006713487E+01,-2.974466248458262E+01,3.104358421608744E-02
5616000,2.453770500000000E+06,-9.277739265099907E+07,7.302491910722516E+07,-5.209040490612537E+05,-1.693182593607878E+01,-3.025940954325914E+01,3.469772662910486E-02
5702400,2.453771500000000E+06,-9.421212436779284E+07,7.038870466499637E+07,-5.177474907593876E+05,-1.627658612581156E+01,-3.076198704025927E+01,3.837456707431031E-02
5788800,2.453772500000000E+06,-9.558947473455976E+07,6.770961803566781E+07,-5.142723565222770E+05,-1.560357081698217E+01,-3.125170541410110E+01,4.207145820019420E-02
5875200,2.453773500000000E+06,-9.690791283963785E+07,6.498880055840072E+07,-5.104770012602545E+05,-1.491289818514240E+01,-3.172786104148731E+01,4.578660808870971E-02
5961600,2.453774500000000E+06,-9.816591921343572E+07,6.222745481025502E+07,-5.063600027175881E+05,-1.420471497911537E+01,-3.218973994972580E+01,4.951667603684662E-02
6048000,2.453775500000000E+06,-9.936198843985042E+07,5.942684557497434E+07,-5.019201733834185E+05,-1.347920032569486E+01,-3.263661674249904E+01,5.325899467209183E-02
6134400,2.453776500000000E+06,-1.004946318955565E+08,5.658830071643908E+07,-4.971565717707239E+05,-1.273656394319673E+01,-3.306775603121316E+01,5.701107793170301E-02
6220800,2.453777500000000E+06,-1.015623806193323E+08,5.371321193560551E+07,-4.920685153825581E+05,-1.197705127177100E+01,-3.348241607389040E+01,6.076909676213482E-02
6307200,2.453778500000000E+06,-1.025637883070522E+08,5.080303540314373E+07,-4.866555864883140E+05,-1.120094192707915E+01,-3.387984719052385E+01,6.453053126702635E-02
6393600,2.453779500000000E+06,-1.034974344174323E+08,4.785929225934765E+07,-4.809176495737471E+05,-1.040855181093720E+01,-3.425929499132461E+01,6.829183466637367E-02
6480000,2.453780500000000E+06,-1.043619274058975E+08,4.488356895384219E+07,-4.748548584645651E+05,-9.600237538443649E+00,-3.462000235350981E+01,7.204957422576008E-02
6566400,2.453781500000000E+06,-1.051559080586050E+08,4.187751743710156E+07,-4.684676688795183E+05,-8.776391213320265E+00,-3.496121030416796E+01,7.580059693052021E-02
6652800,2.453782500000000E+06,-1.058780529368074E+08,3.884285516486936E+07,-4.617568474948574E+05,-7.937447689595009E+00,-3.528216205277241E+01,7.954064031352104E-02
6739200,2.453783500000000E+06,-1.065270814888993E+08,3.578136955054732E+07,-4.547213023253195E+05,-7.085357748953101E+00,-3.558019668330658E+01,8.416727404685886E-02
6825600,2.453784500000000E+06,-1.071018728228659E+08,3.269506393413752E+07,-4.472890451348964E+05,-6.217691932399328E+00,-3.585837651356425E+01,8.787318365792629E-02
6912000,2.453785500000000E+06,-1.076011087157560E+08,2.958569014812917E+07,-4.395374945956860E+05,-5.336487226425039E+00,-3.611405775238809E+01,9.155651428190836E-02
6998400,2.453786500000000E+06,-1.080236451978233E+08,2.645522380385313E+07,-4.314688270589430E+05,-4.442347177795307E+00,-3.634650925332190E+01,9.521302630816209E-02
7084800,2.453787500000000E+06,-1.083683924881696E+08,2.330570299230302E+07,-4.230855839433996E+05,-3.535922896876509E+00,-3.655501523507839E+01,9.883815280920061E-02
7171200,2.453788500000000E+06,-1.086343187954751E+08,2.013922698109566E+07,-4.143906633142559E+05,-2.617906815116791E+00,-3.673887579584167E+01,1.024272276109546E-01
7257600,2.453789500000000E+06,-1.088204541830347E+08,1.695795468588081E+07,-4.053873632817287E+05,-1.689038406428306E+00,-3.689741042269402E+01,1.059734107866621E-01
7344000,2.453790500000000E+06,-1.089258944202721E+08,1.376410284697702E+07,-3.960793371283943E+05,-7.500977097933152E-01,-3.702996115517781E+01,1.094797878777189E-01
7430400,2.453791500000000E+06,-1.089498047853690E+08,1.055994397892353E+07,-3.864706626688037E+05,1.980863282460417E-01,-3.713589579141580E+01,1.129343684277657E-01
7516800,2.453792500000000E+06,-1.088914238803499E+08,7.347803981818338E+06,-3.765657867511897E+05,1.154644333519841E+00,-3.721461135761884E+01,1.163352984509931E-01
7603200,2.453793500000000E+06,-1.087500673252938E+08,4.130059546611092E+06,-3.663695486790896E+05,2.118663633921180E+00,-3.726553566127333E+01,1.196782861297727E-01
7689600,2.453794500000000E+06,-1.085251313902255E+08,9.091352289173317E+05,-3.558872104261003E+05,3.089189599935159E+00,-3.728813369453275E+01,1.229573444189445E-01
7776000,2.453795500000000E+06,-1.082160965482698E+08,-2.312499720761912E+06,-3.451244183698724E+05,4.065228747213214E+00,-3.728190640295900E+01,1.261692024187671E-01
7862400,2.453796500000000E+06,-1.078225308439953E+08,-5.532334852481069E+06,-3.340872211705456E+05,5.045747045538290E+00,-3.724639845604366E+01,1.293085474655289E-01
7948800,2.453797500000000E+06,-1.073440931450971E+08,-8.747822224515710E+06,-3.227820724101029E+05,6.029676807584580E+00,-3.718119934468037E+01,1.323712182411292E-01
8035200,2.453798500000000E+06,-1.067805361792346E+08,-1.195638043346437E+07,-3.112158106320910E+05,7.015913885860984E+00,-3.708594510657917E+01,1.353522448333031E-01
8121600,2.453799500000000E+06,-1.061317094047514E+08,-1.515539887818006E+07,-2.993956783703221E+05,8.003323480045475E+00,-3.696032329370561E+01,1.382475612834035E-01
8208000,2.453800500000000E+06,-1.053975616226165E+08,-1.834224226627649E+07,-2.873292857961161E+05,8.990741243439640E+00,-3.680407665755713E+01,1.410518975041199E-01
8294400,2.453801500000000E+06,-1.045781433434709E+08,-2.151425535873460E+07,-2.750246177678695E+05,9.976977553040115E+00,-3.661700122710911E+01,1.437619849243976E-01
8380800,2.453802500000000E+06,-1.036736088634260E+08,-2.466876796032985E+07,-2.624900400118232E+05,1.096081960229735E+01,-3.639895327297979E+01,1.463733685976099E-01
8467200,2.453803500000000E+06,-1.026842180836948E+08,-2.780310004641450E+07,-2.497342527078390E+05,1.194103717105556E+01,-3.614985079807177E+01,1.488821884627889E-01
8553600,2.453804500000000E+06,-1.016103379675475E+08,-3.091456712971851E+07,-2.367662950109709E+05,1.291638231196802E+01,-3.586967313612273E+01,1.512841119996189E-01
8640000,2.453805500000000E+06,-1.004524436785289E+08,-3.400048575528839E+07,-2.235955359679963E+05,1.388559907501931E+01,-3.555846382610287E+01,1.535759223831636E-01
8726400,2.453806500000000E+06,-9.921111935249372E+07,-3.705817911439106E+07,-2.102316442303117E+05,1.484742225614974E+01,-3.521633428085222E+01,1.557541761619863E-01
8812800,2.453807500000000E+06,-9.788705854784566E+07,-4.008498279246842E+07,-1.966845635415856E+05,1.580058448912630E+01,-3.484345980717389E+01,1.578157605537420E-01
8899200,2.453808500000000E+06,-9.648106425051306E+07,-4.307825055432294E+07,-1.829644919815622E+05,1.674382058545803E+01,-3.444008593507586E+01,1.597580829107415E-01
8985600,2.453809500000000E+06,-9.499404852821027E+07,-4.603536018559454E+07,-1.690818777030539E+05,1.767587168974836E+01,-3.400652437254445E+01,1.615779962881660E-01
9072000,2.453810500000000E+06,-9.342703178124367E+07,-4.895371937507733E+07,-1.550473523762003E+05,1.859548885394930E+01,-3.354315400742277E+01,1.632743641633070E-01
9158400,2.453811500000000E+06,-9.178114160289256E+07,-5.183077154803498E+07,-1.408717383517921E+05,1.950144154982728E+01,-3.305042265040216E+01,1.648441873613535E-01
9244800,2.453812500000000E+06,-9.005761121410084E+07,-5.466400161461375E+07,-1.265659780997373E+05,2.039251567694524E+01,-3.252884521077603E+01,1.662864484395499E-01
9331200,2.453813500000000E+06,-8.825777753118499E+07,-5.745094172578574E+07,-1.121411335622445E+05,2.126752574321191E+01,-3.197899829035318E+01,1.676005017071187E-01
9417600,2.453814500000000E+06,-8.638307882575029E+07,-6.018917684770707E+07,-9.760830898924172E+04,2.212531214382013E+01,-3.140152632508173E+01,1.687862148502131E-01
9504000,2.453815500000000E+06,-8.443505201111749E+07,-6.287635017745213E+07,-8.297863528442755E+04,2.296475137972754E+01,-3.079713472418655E+01,1.698425828763952E-01
9590400,2.453816500000000E+06,-8.241532953988072E+07,-6.551016842659102E+07,-6.826318855388090E+04,2.378475627886032E+01,-3.016658816031948E+01,1.707713517309415E-01
9676800,2.453817500000000E+06,-8.032563596995212E+07,-6.808840690855727E+07,-5.347296011837199E+04,2.458428225402365E+01,-2.951070738961188E+01,1.715741581264201E-01
9763200,2.453818500000000E+06,-7.816778418114394E+07,-7.060891433406197E+07,-3.861875490599126E+04,2.536233044963128E+01,-2.883037141239435E+01,1.722527281450645E-01
9849600,2.453819500000000E+06,-7.594367127032687E+07,-7.306961741754474E+07,-2.371115514200926E+04,2.611795031086719E+01,-2.812650673330482E+01,1.728114116270998E-01
9936000,2.453820500000000E+06,-7.365527414552496E+07,-7.546852520654525E+07,-8.760355816770345E+03,2.685024567783233E+01,-2.740009148588988E+01,1.732533327319654E-01
10022400,2.453821500000000E+06,-7.130464486269203E+07,-7.780373312463869E+07,6.223881706785411E+03,2.755837428783882E+01,-2.665214685277308E+01,1.735866382175182E-01
10108800,2.453822500000000E+06,-6.889390567747886E+07,-8.007342673518369E+07,2.123244259727001E+04,2.824155312414125E+01,-2.588373712907838E+01,1.738178178601366E-01
10195200,2.453823500000000E+06,-6.642524388675210E+07,-8.227588523590538E+07,3.625699592657015E+04,2.889906023233130E+01,-2.509596539638524E+01,1.739586749146671E-01
10281600,2.453824500000000E+06,-6.390090646065464E+07,-8.440948470308518E+07,5.129029642621800E+04,2.953023711543798E+01,-2.428997064497203E+01,1.740228232199303E-01
10368000,2.453825500000000E+06,-6.132319441257592E+07,-8.647270115413035E+07,6.632652688243985E+04,3.013449056074867E+01,-2.346692738783798E+01,1.740301963685145E-01
10454400,2.453826500000000E+06,-5.869445703727786E+07,-8.846411346126968E+07,8.136181333947554E+04,3.071129733777053E+01,-2.262804229218750E+01,1.740062224842749E-01
